"","navn","ministerpost","parti","start","stop","regering","r_start","r_stop","time","early"
"725","Nathalie Lind"," Justitsminister "," (V)",1978-08-30,1979-10-26,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,1.15616438356165,0
"726","Svend Jakobsen"," Fiskeriminister "," (A)",1978-08-30,1979-10-26,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,1.15616438356165,0
"727","Jørgen Peder Hansen"," Minister for Grønland "," (A)",1978-08-30,1979-10-26,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,1.15616438356165,0
"728","Ritt Bjerregaard"," Undervisningsminister "," (A)",1978-08-30,1978-12-22,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,0.31232876712329,1
"729","Dorte Bennedsen"," Undervisningsminister "," (A)",1979-01-05,1979-10-26,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,0.805479452054669,0
"730","Lise Østergaard"," Minister uden portefølje med særligt henblik på udenrigspolitiske spørgsmål "," (A)",1978-08-30,1979-10-26,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,1.15616438356165,0
"731","Anders Andersen"," Økonomiminister og minister for skatter og afgifter "," (V)",1978-08-30,1979-10-26,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,1.15616438356165,0
"732","Niels Anker Kofoed"," Landbrugsminister "," (V)",1978-08-30,1979-10-26,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,1.15616438356165,0
"733","Poul Søgaard"," Forsvarsminister "," (A)",1978-08-30,1979-10-26,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,1.15616438356165,0
"734","Svend Auken"," Arbejdsminister "," (A)",1978-08-30,1979-10-26,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,1.15616438356165,0
"735","Knud Enggaard"," Indenrigsminister "," (V)",1978-08-30,1979-10-26,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,1.15616438356165,0
"736","Arne Christiansen"," Handelsminister "," (V)",1978-08-30,1979-10-26,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,1.15616438356165,0
"737","Erling Olsen"," Boligminister "," (A)",1978-08-30,1979-10-26,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,1.15616438356165,0
"738","Ivar Hansen"," Minister for offentlige arbejder"," (V)",1978-08-30,1979-10-26,"Regeringen-Anker-Joergensen-III",1978-08-30,1979-10-26,1.15616438356165,0
"739","Anker Jørgensen"," Statsminister "," (A)",1979-10-26,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,2.17808219178096,0
"740","Kjeld Olesen"," Udenrigsminister "," (A)",1979-10-26,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,2.17808219178096,0
"741","Svend Jakobsen"," Finansminister "," (A)",1979-10-26,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,2.17808219178096,0
"742","Ivar Nørgaard"," Økonomiminister "," (A)",1979-10-26,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,2.17808219178096,0
"743","Ivar Nørgaard"," Miljøminister "," (A)",1979-10-26,1980-02-28,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,0.34203158919081,1
"744","Erik Holst"," Miljøminister "," (A)",1980-02-28,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,1.83605060259015,0
"745","Niels Matthiasen"," Minister for kulturelle anliggender "," (A)",1979-10-26,1980-02-16,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,0.309244703945069,1
"746","Lise Østergaard"," Minister for kulturelle anliggender "," (A)",1980-02-28,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,1.83605060259015,0
"747","Erling Jensen"," Industriminister "," (A)",1979-10-26,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,2.17808219178096,0
"748","Jørgen Peder Hansen"," Kirkeminister og minister for Grønland "," (A)",1979-10-26,1981-01-20,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,1.23561643835615,1
"749","Tove Lindbo Larsen"," Kirkeminister og minister for Grønland "," (A)",1981-01-20,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,0.942465753424813,0
"750","Ritt Bjerregaard"," Socialminister "," (A)",1979-10-26,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,2.17808219178096,0
"751","Poul Dalsager"," Landbrugsminister "," (A)",1979-10-26,1981-01-20,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,1.23561643835615,1
"752","Bjørn Westh"," Landbrugsminister "," (A)",1981-01-20,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,0.942465753424813,0
"753","Poul Dalsager"," Fiskeriminister "," (A)",1979-10-26,1981-01-20,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,1.23561643835615,1
"754","Karl Hjortnæs"," Fiskeriminister "," (A)",1981-01-20,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,0.942465753424813,0
"755","Jens Risgaard Knudsen"," Minister for offentlige arbejder "," (A)",1979-10-26,1981-10-15,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,1.96986301369861,1
"756","Knud Heinesen"," Minister for offentlige arbejder "," (A)",1981-10-15,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,0.208219178082345,0
"757","Dorte Bennedsen"," Undervisningsminister "," (A)",1979-10-26,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,2.17808219178096,0
"758","Poul Søgaard"," Forsvarsminister "," (A)",1979-10-26,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,2.17808219178096,0
"759","Svend Auken"," Arbejdsminister "," (A)",1979-10-26,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,2.17808219178096,0
"760","Erling Olsen"," Boligminister "," (A)",1979-10-26,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,2.17808219178096,0
"761","Karl Hjortnæs"," Minister for skatter og afgifter "," (A)",1979-10-26,1981-01-20,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,1.23561643835615,1
"762","Mogens Lykketoft"," Minister for skatter og afgifter "," (A)",1981-01-20,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,0.942465753424813,0
"763","Poul Nielson"," Energiminister "," (A)",1979-10-26,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,2.17808219178096,0
"764","Henning Rasmussen"," Indenrigsminister "," (A)",1979-10-26,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,2.17808219178096,0
"765","Lise Østergaard"," Minister uden portefølje med særligt henblik på udenrigspolitiske spørgsmål "," (A)",1979-10-26,1980-02-28,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,0.34203158919081,1
"766","Lise Østergaard"," Minister for nordiske anliggender"," (A)",1980-02-28,1981-12-30,"Regeringen-Anker-Joergensen-IV",1979-10-26,1981-12-30,1.83605060259015,0
"767","Anker Jørgensen"," Statsminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"768","Kjeld Olesen"," Udenrigsminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"769","Knud Heinesen"," Finansminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"770","Ivar Nørgaard"," Økonomiminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"771","Erling Jensen"," Industriminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"772","Dorte Bennedsen"," Undervisningsminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"773","Lise Østergaard"," Minister for kulturelle anliggender og minister for nordiske anliggender "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"774","Poul Søgaard"," Forsvarsminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"775","Svend Auken"," Arbejdsminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"776","Erling Olsen"," Boligminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"777","Karl Hjortnæs"," Fiskeriminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"778","Poul Nielson"," Energiminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"779","Henning Rasmussen"," Indenrigsminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"780","Erik Holst"," Miljøminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"781","Ole Espersen"," Justitsminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"782","Tove Lindbo Larsen"," Kirkeminister og minister for Grønland "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"783","Bjørn Westh"," Landbrugsminister "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"784","Mogens Lykketoft"," Minister for skatter og afgifter "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"785","J.K. Hansen"," Minister for offentlige arbejder "," (A)",1981-12-30,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.695890410958782,0
"786","Bent Hansen"," Socialminister "," (A)",1981-12-30,1982-04-27,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.32328767123272,1
"787","Bent Rold Andersen"," Socialminister"," (A)",1982-04-27,1982-09-10,"Regeringen-Anker-Joergensen-V",1981-12-30,1982-09-10,0.372602739726062,0
"788","Poul Schlüter"," Statsminister "," (C)",1982-09-10,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,5,0
"789","Henning Christophersen"," Finansminister "," (V)",1982-09-10,1984-07-23,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.86696609027626,1
"790","Palle Simonsen"," Finansminister "," (C)",1984-07-23,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,3.13303390972374,0
"791","Uffe Ellemann-Jensen"," Udenrigsminister "," (V)",1982-09-10,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,5,0
"792","Erik Ninn-Hansen"," Justitsminister "," (C)",1982-09-10,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,5,0
"793","Anders Andersen"," Økonomiminister "," (V)",1982-09-10,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,5,0
"794","Niels Anker Kofoed"," Landbrugsminister "," (V)",1982-09-10,1986-03-12,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,3.50136986301368,1
"795","Britta Schall Holberg"," Landbrugsminister "," (V)",1986-03-12,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.49863013698632,0
"796","Knud Enggaard"," Energiminister "," (V)",1982-09-10,1986-03-12,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,3.50136986301368,1
"797","Svend Erik Hovmand"," Energiminister "," (V)",1986-03-12,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.49863013698632,0
"798","Ib Stetter"," Industriminister "," (C)",1982-09-10,1986-03-12,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,3.50136986301368,1
"799","Nils Wilhjelm"," Industriminister "," (C)",1986-03-12,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.49863013698632,0
"800","Palle Simonsen"," Socialminister "," (C)",1982-09-10,1984-07-23,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.86696609027626,1
"801","Elsebeth Kock-Petersen"," Socialminister "," (V)",1984-07-23,1986-03-12,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.63440377273741,1
"802","Mimi Jakobsen"," Socialminister "," (D)",1986-03-12,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.49863013698632,0
"803","Christian Christensen"," Miljøminister og minister for nordiske anliggender "," (Q)",1982-09-10,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,5,0
"804","Bertel Haarder"," Undervisningsminister "," (V)",1982-09-10,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,5,0
"805","Arne Melchior"," Minister for offentlige arbejder "," (D)",1982-09-10,1986-08-14,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,3.92602739726021,1
"806","Frode Nør Christensen"," Minister for offentlige arbejder "," (D)",1986-08-14,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.07397260273979,0
"807","Henning Grove"," Fiskeriminister "," (C)",1982-09-10,1986-03-12,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,3.50136986301368,1
"808","Lars P. Gammelgaard"," Fiskeriminister "," (C)",1986-03-12,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.49863013698632,0
"809","Niels Bollmann"," Boligminister "," (D)",1982-09-10,1986-03-12,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,3.50136986301368,1
"810","Thor Pedersen"," Boligminister "," (V)",1986-03-12,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.49863013698632,0
"811","Grethe Fenger Møller"," Arbejdsminister "," (C)",1982-09-10,1986-03-12,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,3.50136986301368,1
"812","Henning Dyremose"," Arbejdsminister "," (C)",1986-03-12,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.49863013698632,0
"813","Mimi Jakobsen"," Minister for kulturelle anliggender "," (D)",1982-09-10,1986-03-12,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,3.50136986301368,1
"814","Hans Peter Clausen"," Minister for kulturelle anliggender "," (C)",1986-03-12,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.49863013698632,0
"815","Elsebeth Kock-Petersen"," Kirkeminister "," (V)",1982-09-10,1984-07-23,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.86696609027626,1
"816","Mette Madsen"," Kirkeminister "," (V)",1984-07-23,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,3.13303390972374,0
"817","Britta Schall Holberg"," Indenrigsminister "," (V)",1982-09-10,1986-03-12,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,3.50136986301368,1
"818","Knud Enggaard"," Indenrigsminister "," (V)",1986-03-12,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,1.49863013698632,0
"819","Isi Foighel"," Minister for skatter og afgifter "," (C)",1982-09-10,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,5,0
"820","Tom Høyem"," Minister for Grønland "," (D)",1982-09-10,1987-09-01,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,4.97534246575356,1
"821","Mimi Jakobsen"," Minister for Grønland "," (D)",1987-09-01,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,0.0246575342464439,0
"822","Hans Engell"," Forsvarsminister"," (C)",1982-09-10,1987-09-10,"Regeringen-Poul-Schlueter-I",1982-09-10,1987-09-10,5,0
"823","Poul Schlüter"," Statsminister "," (C)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"824","Uffe Ellemann-Jensen"," Udenrigsminister "," (V)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"825","Palle Simonsen"," Finansminister "," (C)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"826","Erik Ninn-Hansen"," Justitsminister "," (C)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"827","Erhard Jakobsen"," Minister for økonomisk samordning "," (D)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"828","Knud Enggaard"," Økonomiminister "," (V)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"829","Christian Christensen"," Miljøminister "," (Q)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"830","Bertel Haarder"," Undervisnings- og forskningsminister "," (V)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"831","Mimi Jakobsen"," Socialminister "," (D)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"832","Mette Madsen"," Kirkeminister "," (V)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"833","Svend Erik Hovmand"," Energiminister "," (V)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"834","Lars P. Gammelgaard"," Fiskeriminister og minister for nordisk samarbejde "," (C)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"835","Henning Dyremose"," Arbejdsminister "," (C)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"836","Thor Pedersen"," Indenrigsminister "," (V)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"837","Hans Peter Clausen"," Kultur- og kommunikationsminister "," (C)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"838","Nils Wilhjelm"," Industriminister "," (C)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"839","Frode Nør Christensen"," Trafikminister "," (D)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"840","Anders Fogh Rasmussen"," Skatteminister "," (V)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"841","Agnete Laustsen"," Sundhedsminister "," (C)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"842","Laurits Tørnæs"," Landbrugsminister "," (V)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"843","Bernt Johan Holger Collet"," Forsvarsminister "," (C)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"844","Flemming Kofod-Svendsen"," Boligminister"," (Q)",1987-09-10,1988-06-03,"Regeringen-Poul-Schlueter-II",1987-09-10,1988-06-03,0.730354068418364,0
"845","Poul Schlüter"," Statsminister "," (C)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"846","Uffe Ellemann-Jensen"," Udenrigsminister "," (V)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"847","Palle Simonsen"," Finansminister "," (C)",1988-06-03,1989-10-30,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,1.40663223295155,1
"848","Henning Dyremose"," Finansminister "," (C)",1989-10-30,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,1.13424657534256,0
"849","Niels Helveg Petersen"," Økonomiminister "," (B)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"850","Erik Ninn-Hansen"," Justitsminister "," (C)",1988-06-03,1989-01-10,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,0.60389250692424,1
"851","Hans Peter Clausen"," Justitsminister "," (C)",1989-01-10,1989-10-05,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,0.734246575342468,1
"852","Hans Engell"," Justitsminister "," (C)",1989-10-05,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,1.2027397260274,0
"853","Anders Fogh Rasmussen"," Skatteminister "," (V)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"854","Knud Enggaard"," Forsvarsminister "," (V)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"855","Bertel Haarder"," Undervisnings- og forskningsminister "," (V)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"856","Elsebeth Kock-Petersen"," Sundhedsminister "," (V)",1988-06-03,1989-12-07,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,1.51074182199272,1
"857","Ester Larsen"," Sundhedsminister "," (V)",1989-12-07,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,1.03013698630139,0
"858","Lars P. Gammelgaard"," Fiskeriminister "," (C)",1988-06-03,1989-10-05,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,1.33813908226671,1
"859","Kent Kirk"," Fiskeriminister "," (C)",1989-10-05,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,1.2027397260274,0
"860","Henning Dyremose"," Arbejdsminister "," (C)",1988-06-03,1989-10-30,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,1.40663223295155,1
"861","Knud Erik Kirkegaard"," Arbejdsminister "," (C)",1989-10-30,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,1.13424657534256,0
"862","Thor Pedersen"," Indenrigsminister og minister for nordisk samarbejde "," (V)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"863","Hans Peter Clausen"," Trafik- og kommunikationsminister "," (C)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"864","Knud Østergaard"," Trafikminister "," (C)",1989-01-10,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,1.93698630136987,0
"865","Nils Wilhjelm"," Industriminister "," (C)",1988-06-03,1989-12-02,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,1.49704319185571,1
"866","Anne Birgitte Lundholt"," Industriminister "," (C)",1989-12-02,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,1.0438356164384,0
"867","Agnete Laustsen"," Boligminister "," (C)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"868","Laurits Tørnæs"," Landbrugsminister "," (V)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"869","Jens Bilgrav-Nielsen"," Energiminister "," (B)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"870","Ole Vig Jensen"," Kulturminister "," (B)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"871","Lone Dybkjær"," Miljøminister "," (B)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"872","Aase Olesen"," Socialminister "," (B)",1988-06-03,1990-12-18,"Regeringen-Poul-Schlueter-III",1988-06-03,1990-12-18,2.54087880829411,0
"873","Poul Schlüter"," Statsminister "," (C)",1990-12-18,1993-01-25,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,2.10410958904095,0
"874","Uffe Ellemann-Jensen"," Udenrigsminister "," (V)",1990-12-18,1993-01-25,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,2.10410958904095,0
"875","Henning Dyremose"," Finansminister "," (C)",1990-12-18,1993-01-25,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,2.10410958904095,0
"876","Anders Fogh Rasmussen"," Økonomiminister og skatteminister "," (V)",1990-12-18,1992-11-19,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,1.92086982558567,1
"877","Thor Pedersen"," Økonomiminister "," (V)",1992-11-19,1993-01-25,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,0.183239763455276,0
"878","Peter Brixtofte"," Skatteminister "," (V)",1992-11-19,1993-01-25,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,0.183239763455276,0
"879","Knud Enggaard"," Forsvarsminister "," (V)",1992-11-19,1993-01-25,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,0.183239763455276,0
"880","Bertel Haarder"," Undervisnings- og forskningsminister "," (V)",1990-12-18,1993-01-25,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,2.10410958904095,0
"881","Hans Engell"," Justitsminister "," (C)",1990-12-18,1993-01-25,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,2.10410958904095,0
"882","Thor Pedersen"," Indenrigsminister og minister for nordisk samarbejde "," (V)",1992-11-19,1993-01-25,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,0.183239763455276,0
"883","Laurits Tørnæs"," Landbrugsminister "," (V)",1990-12-18,1993-01-25,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,2.10410958904095,0
"884","Torben Rechendorff"," Kirkeminister og kommunikationsminister "," (C)",1990-12-18,1993-01-25,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,2.10410958904095,0
"885","Svend Erik Hovmand"," Boligminister "," (V)",1990-12-18,1993-01-25,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,2.10410958904095,0
"886","Kent Kirk"," Fiskeriminister "," (C)",1990-12-18,1993-01-25,"Regeringen-Poul-Schlueter-IV",1990-12-18,1993-01-25,2.10410958904095,0
